as_of_month,global_raw_sugar_price,usdkrw,freight_index
2023-01-01,19.943182,1243.070500,4.096000
2023-02-01,21.403500,1275.420500,4.020000
2023-03-01,20.961739,1306.016100,3.961000
2023-04-01,24.582000,1322.057000,3.877000
2023-05-01,25.729565,1327.480000,3.614000
2023-06-01,24.762273,1297.251400,3.520000
2023-07-01,24.008095,1282.283500,3.423000
2023-08-01,24.193043,1321.756100,3.459000
2023-09-01,26.563810,1334.237000,3.452000
2023-10-01,26.903636,1351.507100,3.375000
2023-11-01,27.309545,1308.154000,3.331000
2023-12-01,22.145714,1304.394500,3.230000
2024-01-01,22.474783,1325.911900,3.102000
2024-02-01,23.341905,1331.334500,3.225000
2024-03-01,21.769048,1331.675200,3.227000
2024-04-01,20.647273,1367.855500,3.227000
2024-05-01,18.799565,1364.724100,3.288000
2024-06-01,19.169500,1379.052600,3.189000
2024-07-01,19.351739,1382.047300,3.211000
2024-08-01,18.419545,1351.443600,3.147000
2024-09-01,20.624762,1330.698500,3.224000
2024-10-01,22.355217,1362.369100,3.175000
2024-11-01,21.655238,1395.020000,3.203000
2024-12-01,20.311818,1439.996700,3.120000
2025-01-01,18.930000,1452.191900,2.971000
2025-02-01,20.185500,1444.793200,3.078000
2025-03-01,19.056190,1458.345200,3.163000
2025-04-01,18.171818,1439.777700,3.267000
2025-05-01,17.431364,1391.437600,3.313000
2025-06-01,16.226190,1364.677500,3.273000
2025-07-01,16.364783,1379.295900,3.225000
2025-08-01,16.389524,1388.999000,3.135000
2025-09-01,15.790000,1392.905200,3.296000
2025-10-01,15.558696,1423.079500,3.169000
2025-11-01,14.623000,1459.878900,3.162610
2025-12-01,14.935000,1465.355000,3.101140
2026-01-01,14.785909,1455.496000,2.990000
2026-02-01,14.201500,1447.285800,3.143000
2026-03-01,14.201500,1490.517700,3.143000
2026-04-01,14.201500,1490.517700,3.143000
2026-05-01,14.201500,1490.517700,3.143000
2026-06-01,14.201500,1490.517700,3.143000
2026-07-01,14.201500,1490.517700,3.143000
2026-08-01,14.201500,1490.517700,3.143000
